https://agritimes.co.in/crops/investment-support-of-inr-7-509-crore-under-rythu-bandhu-scheme-for-telangana-farmers,"Investment support of INR 7,509 crore under Rythu Bandhu scheme for Telangana farmers"
https://agritimes.co.in/crops/cabinet-approves-minimum-support-prices-for-kharif-crops-for-marketing-season-2021-22,Cabinet approves minimum support prices for Kharif Crops for marketing season 2021-22
https://agritimes.co.in/crops/parshottam-rupala-launches-bamboo-market-page-on-gem-portal,Parshottam Rupala launches bamboo market page on GeM portal
https://agritimes.co.in/crops/nmpb-and-csir-nbri-sign-mou-to-promote-cultivation-production-of-medicinal-plants,"NMPB and CSIR-NBRI sign MoU to promote cultivation, production of medicinal plants"
https://agritimes.co.in/crops/govt-procures-over-80-52-mt-of-paddy-benefiting-11-94-million-farmers,Govt procures over 80.52 MT of paddy benefiting 11.94 million farmers
https://agritimes.co.in/crops/agri-minister-reviews-collaboration-via-virtual-meet-with-australian-counterpart,Agri minister reviews collaboration via virtual meet with Australian counterpart
https://agritimes.co.in/crops/india-exports-4-5mt-village-rice-to-ghana-and-yemen,India exports 4.5MT village rice to Ghana and Yemen
https://agritimes.co.in/crops/indias-third-advance-estimates-of-principal-crops-shoot-7-94mt-higher-for-2020-21,India's third advance estimates of principal crops shoot 7.94MT higher for 2020-21
https://agritimes.co.in/crops/agri-minister-launches-honey-testing-laboratory-project-on-world-bee-day,Agri minister launches honey testing laboratory project on World Bee Day
https://agritimes.co.in/crops/govt-formulates-strategy-to-achieve-self-sufficiency-in-pulses-for-kharif-2021,Govt formulates strategy to achieve self-sufficiency in pulses for Kharif 2021
https://agritimes.co.in/crops/farmers-agriculture-labourers-working-hard-against-all-adversities-to-ensure-food-reaches-everybody,"Farmers, agriculture labourers working hard against all adversities to ensure food reaches everybody"
https://agritimes.co.in/crops/foodgrains-production-target-is-set-at-307-million-tonnes-for-2021-22-says-agriculture-minister,"Foodgrains production target is set at 307 million tonnes for 2021-22, says agriculture minister"
https://agritimes.co.in/crops/summer-sowing-increased-by-21-5-to-7-3-mn-hectares,Summer sowing increased by 21.5% to 7.3 MN hectares
https://agritimes.co.in/crops/india-second-advance-estimates-predicts-a-record-303-34-mt-of-foodgrain-production-during-2020-21,India second advance estimates predicts a record 303.34 MT of foodgrain production during 2020-21
https://agritimes.co.in/crops/govt-procures-8-84-mn-cotton-bales-from-farmers-worth-inr-25-826-cr-during-kharif-marketing-season-2020-21,"Govt procures 8.84 MN cotton bales from farmers worth INR 25,826 Cr during Kharif Marketing Season 2020-21"
https://agritimes.co.in/crops/cabinet-increase-msp-of-copra-by-inr-375-per-quintal-for-2021-season,Cabinet increase MSP of Copra by INR 375 per quintal for 2021 season
https://agritimes.co.in/crops/paddy-procurement-touches-506-lakh-tonnes-during-2020-21-kharif-marketing-season,Paddy procurement touches 506 lakh tonnes during 2020-21 Kharif Marketing Season
https://agritimes.co.in/crops/kharif-marketing-season-2020-21-paddy-procurement-shows-increase-of-23-70-over-last-year,Kharif Marketing Season 2020-21: Paddy procurement shows increase of 23.70% over last year
https://agritimes.co.in/crops/cabinet-approves-inr-3500-cr-assistance-for-sugarcane-farmers,Cabinet approves INR 3500 Cr assistance for sugarcane farmers
https://agritimes.co.in/crops/msp-operations-during-kharif-marketing-season-2020-21,MSP Operations during Kharif Marketing Season 2020-21
